Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [SUSHI FUJI],Price [SUSHI FUJI],In stock [SUSHI FUJI],Low stock [SUSHI FUJI]
limenade-japonais,10181,Limenade japonais,BOISSONS,,N,,,,,,,0.00,,,,N,Y,4.20,,
lychees,10186,Lychees,BOISSONS,,N,,,,,,,0.00,,,,N,Y,3.50,,
maki-mix-(18pcs),10164,Maki mix (18pcs),PLATEAU,,N,,,,,,,0.00,,,,N,Y,16.50,,
mangue-cheese,10137,Mangue cheese,TULIPE ( PAR PIÈCE ),,N,,,,,,,0.00,,,,N,Y,2.20,,
mangue-roll,10108,Mangue Roll,SPÉCIAL ROLL ( 8 PIÈCES ),<p>( poulet-pan&eacute; cheese avocat mangue )</p>,N,,,,,,,0.00,,,,N,Y,11.90,,
masago,10019,Masago,GUNKAN ( PAR PIÈCE ),,N,,,,,,,0.00,,,,N,Y,2.60,,
masago-roll,10106,Masago Roll,SPÉCIAL ROLL ( 8 PIÈCES ),<p>( surimi avocat concombre takuan masago )</p>,N,,,,,,,0.00,,,,N,Y,10.90,,
mega-california-(24pcs),10172,Mega california (24pcs),PLATEAU,,N,,,,,,,0.00,,,,N,Y,23.80,,
menu-lunch-a-(12pcs),10139,Menu Lunch A (12pcs),LUNCH,,N,,,,,,,0.00,,,,N,Y,7.80,,
menu-lunch-b-(14pcs),10140,Menu Lunch B (14pcs),LUNCH,,N,,,,,,,0.00,,,,N,Y,12.80,,
menu-lunch-c-(20pcs),10141,Menu Lunch C (20pcs),LUNCH,,N,,,,,,,0.00,,,,N,Y,14.50,,
